Year,Latitude,Line,Line Group (Path ID),Longitude,Point Order,Station,Traffic
2013,48.84491785,12,12,2.328852968,20,Notre-Dame des Champs,2077450
2013,48.84293835,12,12,2.312656445,23,Pasteur,5110865
2013,48.882561789,12,12,2.337786129,8,Pigalle,6201914
2013,48.898071672,12,12,2.359091542,2,Porte de la Chapelle,2905144
2013,48.832461982,12,12,2.288002796,27,Porte de Versailles,6238822
2013,48.848054433,12,12,2.328083051,19,Rennes,1297127
2013,48.855756472,12,12,2.325568822,17,Rue du Bac,2632889
2013,48.878508536,12,12,2.337588512,9,Saint-Georges,1279016
2013,48.875577869,12,12,2.326185659,12,Saint-Lazare,44939493
2013,48.851204355,12,12,2.325872863,18,Sèvres-Babylone,5540265
2013,48.858551244,12,12,2.322680622,16,Solférino,2632023
2013,48.876508793,12,12,2.333058077,11,Trinité-d'Estienne d'Orves,2296191
2013,48.839568033,12,12,2.30098264,25,Vaugirard (Adolphe Chérioux),3910263
2013,48.841697027,12,12,2.308041146,24,Volontaires,2511126
2013,48.930163413,13,13,2.284074472,1,Asnieres-Gennevilliers Les Courtilles,3944225
2013,48.890379421,13,13,2.320027652,6,Brochant,3492868
2013,48.867411421,13,13,2.31395945,12,Champs-Elysées-Clémenceau,4617843
2013,48.810314768,13,13,2.301248022,24,Châtillon Montrouge,6246622
2013,48.846783532,13,13,2.316722857,16,Duroc,3339347
2013,48.916233502,13,13,2.294923764,3,Gabriel-Péri,5285165
2013,48.83849115,13,13,2.32258278,18,Gaité,3165824
2013,48.86168654,13,13,2.314357043,13,Invalides,7283347
2013,48.887391896,13,13,2.326038677,7,La Fourche,2904781
2013,48.922916232,13,13,2.285827518,2,Les Agnettes,2368284
2013,48.879564057,13,13,2.326517285,9,Liège,1712165
2013,48.903659442,13,13,2.305566001,4,Mairie de Clichy,6987958
2013,48.823131402,13,13,2.297015085,22,Malakoff-Plateau de Vanves,3852053
2013,48.814667973,13,13,2.296998964,23,Malakoff-Rue Etienne Dolet,1881782
2013,48.873706384,13,13,2.315199185,11,Miromesnil,5916541
2013,48.843042851,13,13,2.322635051,17,Montparnasse-Bienvenue,31919734
2013,48.8338169,13,13,2.317663958,19,Pernéty,3348989
2013,48.883623367,13,13,2.327306822,8,Place de Clichy,9356430
2013,48.831762586,13,13,2.314067345,20,Plaisance,4794268
2013,48.894361161,13,13,2.313738343,5,Porte de Clichy,4021254
