Basin,Date,Latitude,Longitude,Number of Records,Pressure (mb),Storm Name,Wind speed (kt)
West Pacific,6/2/2012 12:00:00 AM,16.6,124.3,1,990,MAWAR,45
West Pacific,6/2/2012 6:00:00 AM,17.1,124.3,1,985,MAWAR,50
West Pacific,6/2/2012 12:00:00 PM,17.6,124.5,1,980,MAWAR,55
West Pacific,6/2/2012 6:00:00 PM,18.1,124.7,1,980,MAWAR,55
West Pacific,6/3/2012 12:00:00 AM,18.6,125,1,980,MAWAR,55
West Pacific,6/3/2012 6:00:00 AM,19.3,125.4,1,975,MAWAR,60
West Pacific,6/3/2012 12:00:00 PM,20,125.7,1,970,MAWAR,65
West Pacific,6/3/2012 6:00:00 PM,20.8,125.7,1,960,MAWAR,75
West Pacific,6/4/2012 12:00:00 AM,21.5,126.2,1,960,MAWAR,75
West Pacific,6/4/2012 6:00:00 AM,22.6,126.7,1,960,MAWAR,75
West Pacific,6/4/2012 12:00:00 PM,23.3,127.7,1,960,MAWAR,70
West Pacific,6/4/2012 3:00:00 PM,23.6,128.3,1,965,MAWAR,70
West Pacific,6/4/2012 6:00:00 PM,24.6,129,1,965,MAWAR,70
West Pacific,6/4/2012 9:00:00 PM,25.4,129.7,1,970,MAWAR,70
West Pacific,6/5/2012 12:00:00 AM,26,130.4,1,970,MAWAR,65
West Pacific,6/5/2012 3:00:00 AM,26.6,131.3,1,970,MAWAR,65
West Pacific,6/5/2012 6:00:00 AM,27.4,132.3,1,975,MAWAR,60
West Pacific,6/5/2012 12:00:00 PM,28.5,134.8,1,975,MAWAR,60
West Pacific,6/5/2012 6:00:00 PM,29.8,137.6,1,980,MAWAR,55
West Pacific,6/6/2012 12:00:00 AM,31.4,141.3,1,980,MAWAR,55
West Pacific,6/6/2012 6:00:00 AM,33.3,145.5,1,976,MAWAR,0
West Pacific,6/6/2012 12:00:00 PM,35.6,147.4,1,968,MAWAR,0
West Pacific,6/6/2012 6:00:00 PM,37.6,149.8,1,964,MAWAR,0
West Pacific,6/7/2012 12:00:00 AM,39,151.4,1,968,MAWAR,0
West Pacific,6/7/2012 6:00:00 AM,40.1,152.4,1,972,MAWAR,0
West Pacific,6/7/2012 12:00:00 PM,40.8,153.5,1,972,MAWAR,0
West Pacific,6/7/2012 6:00:00 PM,41.2,155.5,1,972,MAWAR,0
West Pacific,6/8/2012 12:00:00 AM,41.5,157.4,1,976,MAWAR,0
West Pacific,6/8/2012 6:00:00 AM,42,159.9,1,980,MAWAR,0
West Pacific,6/8/2012 12:00:00 PM,42.7,161.9,1,982,MAWAR,0
West Pacific,6/8/2012 6:00:00 PM,43.7,164.2,1,984,MAWAR,0
West Pacific,6/9/2012 12:00:00 AM,44.2,166.3,1,988,MAWAR,0
West Pacific,6/9/2012 6:00:00 AM,45.8,168.2,1,988,MAWAR,0
West Pacific,6/9/2012 12:00:00 PM,47.4,169.5,1,988,MAWAR,0
West Pacific,6/9/2012 6:00:00 PM,48.6,170.1,1,988,MAWAR,0
West Pacific,6/10/2012 12:00:00 AM,49.9,170.9,1,990,MAWAR,0
West Pacific,6/10/2012 6:00:00 AM,51.5,170,1,992,MAWAR,0
West Pacific,6/10/2012 12:00:00 PM,7.2,148.6,1,1008,GUCHOL,0
West Pacific,6/10/2012 12:00:00 PM,52,169.4,1,992,MAWAR,0
West Pacific,6/10/2012 6:00:00 PM,8.8,148.2,1,1008,GUCHOL,0
West Pacific,6/10/2012 6:00:00 PM,52.3,168.8,1,996,MAWAR,0
West Pacific,6/11/2012 12:00:00 AM,9,147.3,1,1008,GUCHOL,0
West Pacific,6/11/2012 12:00:00 AM,52.2,168.9,1,996,MAWAR,0
West Pacific,6/11/2012 6:00:00 AM,9.1,146.4,1,1006,GUCHOL,0
West Pacific,6/11/2012 6:00:00 AM,52.9,170.5,1,1000,MAWAR,0
West Pacific,6/11/2012 12:00:00 PM,9.3,145.5,1,1008,GUCHOL,0
West Pacific,6/11/2012 12:00:00 PM,53.3,171.4,1,1004,MAWAR,0
West Pacific,6/11/2012 6:00:00 PM,9.4,144.6,1,1006,GUCHOL,0
West Pacific,6/11/2012 6:00:00 PM,53.5,170.7,1,1004,MAWAR,0
West Pacific,6/12/2012 12:00:00 AM,9.6,143.7,1,1006,GUCHOL,0
West Pacific,6/12/2012 12:00:00 AM,54,169.8,1,1006,MAWAR,0
West Pacific,6/12/2012 6:00:00 AM,9.5,143,1,1004,GUCHOL,0
West Pacific,6/12/2012 6:00:00 AM,54.2,170,1,1006,MAWAR,0
West Pacific,6/12/2012 12:00:00 PM,9.5,142.2,1,1006,GUCHOL,0
West Pacific,6/12/2012 12:00:00 PM,53.7,168.6,1,1006,MAWAR,0
West Pacific,6/12/2012 6:00:00 PM,9.4,141.5,1,1004,GUCHOL,0
West Pacific,6/12/2012 6:00:00 PM,53.9,168.2,1,1006,MAWAR,0
West Pacific,6/13/2012 12:00:00 AM,9.3,140.7,1,1004,GUCHOL,0
West Pacific,6/13/2012 12:00:00 AM,55.1,168.2,1,1008,MAWAR,0
West Pacific,6/13/2012 6:00:00 AM,10,139.3,1,1002,GUCHOL,0
West Pacific,6/13/2012 12:00:00 PM,10.7,138,1,1000,GUCHOL,35
West Pacific,6/13/2012 6:00:00 PM,10.8,136.6,1,992,GUCHOL,45
West Pacific,6/14/2012 12:00:00 AM,10.9,135.2,1,985,GUCHOL,50
West Pacific,6/14/2012 6:00:00 AM,10.7,134.1,1,985,GUCHOL,50
West Pacific,6/14/2012 12:00:00 PM,10.7,132.8,1,985,GUCHOL,50
West Pacific,6/14/2012 6:00:00 PM,10.4,132.2,1,980,GUCHOL,55
West Pacific,6/15/2012 12:00:00 AM,10.3,131.4,1,975,GUCHOL,60
West Pacific,6/15/2012 6:00:00 AM,10.4,131.2,1,975,GUCHOL,60
West Pacific,6/15/2012 12:00:00 PM,11.2,130.9,1,975,GUCHOL,60
West Pacific,6/15/2012 6:00:00 PM,11.9,130.5,1,975,GUCHOL,60
West Pacific,6/16/2012 12:00:00 AM,12.9,130.2,1,965,GUCHOL,70
West Pacific,6/16/2012 6:00:00 AM,14,129.6,1,950,GUCHOL,85
West Pacific,6/16/2012 6:00:00 AM,19,112.1,1,996,TALIM,0
West Pacific,6/16/2012 12:00:00 PM,14.9,128.8,1,930,GUCHOL,100
West Pacific,6/16/2012 12:00:00 PM,19.2,112.1,1,996,TALIM,0
West Pacific,6/16/2012 6:00:00 PM,16.2,128.4,1,930,GUCHOL,100
West Pacific,6/16/2012 6:00:00 PM,19.5,111.8,1,996,TALIM,0
West Pacific,6/17/2012 12:00:00 AM,17.2,127.6,1,930,GUCHOL,100
West Pacific,6/17/2012 12:00:00 AM,19.4,111.2,1,996,TALIM,0
West Pacific,6/17/2012 6:00:00 AM,18.3,127.3,1,930,GUCHOL,100
West Pacific,6/17/2012 6:00:00 AM,18.8,111.2,1,994,TALIM,35
West Pacific,6/17/2012 12:00:00 PM,19.6,127,1,940,GUCHOL,90
West Pacific,6/17/2012 12:00:00 PM,18.6,111.5,1,994,TALIM,35
West Pacific,6/17/2012 6:00:00 PM,20.8,127,1,950,GUCHOL,85
West Pacific,6/17/2012 6:00:00 PM,18.5,111.9,1,992,TALIM,40
West Pacific,6/18/2012 12:00:00 AM,22.2,127.4,1,950,GUCHOL,85
West Pacific,6/18/2012 12:00:00 AM,18.6,112.3,1,992,TALIM,40
West Pacific,6/18/2012 3:00:00 AM,23,127.6,1,950,GUCHOL,85
West Pacific,6/18/2012 6:00:00 AM,23.8,127.9,1,950,GUCHOL,80
West Pacific,6/18/2012 6:00:00 AM,18.8,112.8,1,992,TALIM,40
